DATE,MORTGAGE30US_PCH
2016-09-01,0.72780
2016-10-01,0.28902
2016-11-01,8.64553
2016-12-01,11.35279
2017-01-01,-1.14340
2017-02-01,0.42169
2017-03-01,0.68386
2017-04-01,-3.59867
2017-05-01,-0.86527
2017-06-01,-2.64339
2017-07-01,1.62654
2017-08-01,-2.20542
2017-09-01,-1.93299
2017-10-01,2.36531
2017-11-01,0.69320
2017-12-01,0.71392
2018-01-01,2.08861
2018-02-01,7.37756
2018-03-01,2.63279
2018-04-01,0.52880
2018-05-01,2.65249
2018-06-01,-0.34889
2018-07-01,-0.92998
2018-08-01,0.49696
2018-09-01,1.70330
2018-10-01,4.37601
2018-11-01,0.74534
2018-12-01,-4.69585
2019-01-01,-3.74124
2019-02-01,-2.10573
2019-03-01,-2.40275
2019-04-01,-2.87222
2019-05-01,-1.70187
2019-06-01,-6.61837
2019-07-01,-0.98619
2019-08-01,-3.95750
2019-09-01,-0.30420
2019-10-01,2.30236
2019-11-01,0.18980
2019-12-01,0.67659
2020-01-01,-2.58065
2020-02-01,-4.38742
2020-03-01,-0.43290
2020-04-01,-4.17391
2020-05-01,-2.22323
2020-06-01,-2.16551
2020-07-01,-4.63241
2020-08-01,-2.68568
2020-09-01,-1.53322
2020-10-01,-1.93772
2020-11-01,-2.43472
2020-12-01,-2.92948
2021-01-01,1.90015
2021-02-01,2.74223
2021-03-01,9.69751
2021-04-01,-0.72993
2021-05-01,-3.18627
2021-06-01,0.42194
2021-07-01,-3.59664
2021-08-01,-0.88912
2021-09-01,2.02287
2021-10-01,5.77586
2021-11-01,0.00000
2021-12-01,0.99430
2022-01-01,11.20077
2022-02-01,9.21626
2022-03-01,10.88372
2022-04-01,19.42713
2022-05-01,4.96739
2022-06-01,5.58317
2022-07-01,-1.98298
2022-08-01,-3.51039
2022-09-01,17.03207
2022-10-01,12.89267
2022-11-01,-1.37681
2022-12-01,-6.48053
2023-01-01,-1.43777
2023-02-01,-0.23914
2023-03-01,4.57851
2023-04-01,-3.07916
2023-05-01,1.30075
2023-06-01,4.49805
2023-07-01,1.87668
2023-08-01,3.39181
2023-09-01,1.80995
