DATE,ACTLISCOUFL_PCH
2016-09-01,-0.82021
2016-10-01,1.72422
2016-11-01,2.39340
2016-12-01,0.35360
2017-01-01,1.15925
2017-02-01,1.93867
2017-03-01,-0.49624
2017-04-01,-1.37078
2017-05-01,-0.60169
2017-06-01,-3.19436
2017-07-01,-1.75117
2017-08-01,-1.68452
2017-09-01,-2.53018
2017-10-01,0.98846
2017-11-01,1.49750
2017-12-01,0.53693
2018-01-01,0.64375
2018-02-01,2.72237
2018-03-01,1.25852
2018-04-01,-0.84328
2018-05-01,-0.94446
2018-06-01,-1.16682
2018-07-01,-0.18089
2018-08-01,-0.29457
2018-09-01,1.11966
2018-10-01,3.16721
2018-11-01,4.05721
2018-12-01,1.63843
2019-01-01,1.76454
2019-02-01,3.38929
2019-03-01,-1.45869
2019-04-01,-2.69641
2019-05-01,-3.25897
2019-06-01,-3.12287
2019-07-01,-3.22928
2019-08-01,-1.23583
2019-09-01,-0.93247
2019-10-01,-0.36802
2019-11-01,0.42942
2019-12-01,-0.84533
2020-01-01,-1.40817
2020-02-01,0.03019
2020-03-01,-0.11144
2020-04-01,0.70349
2020-05-01,-3.74907
2020-06-01,-8.12431
2020-07-01,-7.26105
2020-08-01,-5.66250
2020-09-01,-5.12331
2020-10-01,-1.94009
2020-11-01,-2.29806
2020-12-01,-5.02369
2021-01-01,-10.68825
2021-02-01,-14.56227
2021-03-01,-15.02906
2021-04-01,-9.85272
2021-05-01,-6.65905
2021-06-01,0.99020
2021-07-01,8.06556
2021-08-01,2.98698
2021-09-01,-0.16906
2021-10-01,-1.98137
2021-11-01,-6.00860
2021-12-01,-7.46906
2022-01-01,-11.78678
2022-02-01,-10.94708
2022-03-01,0.18826
2022-04-01,6.84298
2022-05-01,24.71586
2022-06-01,22.57698
2022-07-01,26.45776
2022-08-01,8.72653
2022-09-01,2.19541
2022-10-01,3.04763
2022-11-01,6.29566
2022-12-01,-0.14615
2023-01-01,-1.99651
2023-02-01,-1.52305
2023-03-01,-2.77485
2023-04-01,-1.93961
2023-05-01,-1.76306
2023-06-01,0.95297
2023-07-01,1.73368
2023-08-01,2.15544
2023-09-01,6.87888
