DATE,ACTLISCOUFL
2017-01-01,141540.0
2017-02-01,144284.0
2017-03-01,143568.0
2017-04-01,141600.0
2017-05-01,140748.0
2017-06-01,136252.0
2017-07-01,133866.0
2017-08-01,131611.0
2017-09-01,128281.0
2017-10-01,129549.0
2017-11-01,131489.0
2017-12-01,132195.0
2018-01-01,133046.0
2018-02-01,136668.0
2018-03-01,138388.0
2018-04-01,137221.0
2018-05-01,135925.0
2018-06-01,134339.0
2018-07-01,134096.0
2018-08-01,133701.0
2018-09-01,135198.0
2018-10-01,139480.0
2018-11-01,145139.0
2018-12-01,147517.0
2019-01-01,150120.0
2019-02-01,155208.0
2019-03-01,152944.0
2019-04-01,148820.0
2019-05-01,143970.0
2019-06-01,139474.0
2019-07-01,134970.0
2019-08-01,133302.0
2019-09-01,132059.0
2019-10-01,131573.0
2019-11-01,132138.0
2019-12-01,131021.0
2020-01-01,129176.0
2020-02-01,129215.0
2020-03-01,129071.0
2020-04-01,129979.0
2020-05-01,125106.0
2020-06-01,114942.0
2020-07-01,106596.0
2020-08-01,100560.0
2020-09-01,95408.0
2020-10-01,93557.0
2020-11-01,91407.0
2020-12-01,86815.0
2021-01-01,77536.0
2021-02-01,66245.0
2021-03-01,56289.0
2021-04-01,50743.0
2021-05-01,47364.0
2021-06-01,47833.0
2021-07-01,51691.0
2021-08-01,53235.0
2021-09-01,53145.0
2021-10-01,52092.0
2021-11-01,48962.0
2021-12-01,45305.0
2022-01-01,39965.0
2022-02-01,35590.0
2022-03-01,35657.0
2022-04-01,38097.0
2022-05-01,47513.0
2022-06-01,58240.0
2022-07-01,73649.0
2022-08-01,80076.0
2022-09-01,81834.0
2022-10-01,84328.0
2022-11-01,89637.0
2022-12-01,89506.0
2023-01-01,87719.0
2023-02-01,86383.0
2023-03-01,83986.0
2023-04-01,82357.0
2023-05-01,80905.0
2023-06-01,81676.0
2023-07-01,83092.0
2023-08-01,84883.0
2023-09-01,90722.0
