DATE,MEDLISPRIPERSQUFEE12086
2016-07-01,347.0
2016-08-01,346.0
2016-09-01,345.0
2016-10-01,345.0
2016-11-01,345.0
2016-12-01,345.0
2017-01-01,347.0
2017-02-01,349.0
2017-03-01,353.0
2017-04-01,353.0
2017-05-01,356.0
2017-06-01,352.0
2017-07-01,352.0
2017-08-01,350.0
2017-09-01,349.0
2017-10-01,347.0
2017-11-01,350.0
2017-12-01,351.0
2018-01-01,352.0
2018-02-01,351.0
2018-03-01,353.0
2018-04-01,354.0
2018-05-01,357.0
2018-06-01,356.0
2018-07-01,352.0
2018-08-01,350.0
2018-09-01,350.0
2018-10-01,349.0
2018-11-01,352.0
2018-12-01,351.0
2019-01-01,350.0
2019-02-01,349.0
2019-03-01,350.0
2019-04-01,351.0
2019-05-01,354.0
2019-06-01,355.0
2019-07-01,354.0
2019-08-01,353.0
2019-09-01,353.0
2019-10-01,354.0
2019-11-01,356.0
2019-12-01,360.0
2020-01-01,360.0
2020-02-01,362.0
2020-03-01,365.0
2020-04-01,358.0
2020-05-01,358.0
2020-06-01,368.0
2020-07-01,380.0
2020-08-01,387.0
2020-09-01,391.0
2020-10-01,391.0
2020-11-01,394.0
2020-12-01,395.0
2021-01-01,393.0
2021-02-01,396.0
2021-03-01,400.0
2021-04-01,411.0
2021-05-01,421.0
2021-06-01,424.0
2021-07-01,423.0
2021-08-01,423.0
2021-09-01,424.0
2021-10-01,430.0
2021-11-01,439.0
2021-12-01,456.0
2022-01-01,466.0
2022-02-01,491.0
2022-03-01,506.0
2022-04-01,515.0
2022-05-01,540.0
2022-06-01,529.0
2022-07-01,518.0
2022-08-01,513.0
2022-09-01,499.0
2022-10-01,506.0
2022-11-01,507.0
2022-12-01,511.0
2023-01-01,514.0
2023-02-01,531.0
2023-03-01,541.0
2023-04-01,558.0
2023-05-01,561.0
2023-06-01,563.0
2023-07-01,558.0
2023-08-01,556.0
2023-09-01,552.0
